縣市,HIV診斷年份,HIV診斷月份,性別,診斷年齡分組,個案數
新北市,1990,7,男,25-34,2
新北市,1990,8,男,25-34,1
新北市,1990,8,男,35-49,1
台北市,1990,9,男,15-24,1
台北市,1990,9,男,25-34,1
台南市,1990,9,男,15-24,1
彰化縣,1990,9,男,25-34,1
台北市,1990,10,男,25-34,3
新北市,1990,10,男,25-34,1
台中市,1990,11,男,15-24,1
台北市,1990,11,男,25-34,1
台北市,1990,11,男,35-49,1
新北市,1990,11,男,35-49,1
新竹縣,1990,11,男,25-34,1
台中市,1991,1,男,25-34,1
台中市,1991,1,男,35-49,1
台北市,1991,1,男,25-34,2
高雄市,1991,1,男,25-34,2
新北市,1991,1,男,25-34,2
新竹縣,1991,1,男,15-24,1
彰化縣,1991,1,男,15-24,1
台中市,1991,2,男,25-34,1
高雄市,1991,2,女,25-34,1
新北市,1991,2,男,15-24,1
台中市,1991,3,男,15-24,1
桃園市,1991,3,男,15-24,1
基隆市,1991,3,男,35-49,1
新竹市,1991,3,男,25-34,1
彰化縣,1991,3,男,15-24,1
台中市,1991,4,男,25-34,1
台北市,1991,4,男,25-34,1
高雄市,1991,4,男,25-34,1
新北市,1991,4,男,25-34,1
新北市,1991,4,男,50-64,1
新北市,1991,6,男,25-34,2
台北市,1991,7,男,25-34,2
花蓮縣,1991,7,男,25-34,1
屏東縣,1991,7,男,25-34,1
高雄市,1991,7,男,35-49,1
基隆市,1991,7,男,15-24,1
新北市,1991,7,男,15-24,1
新竹市,1991,7,男,15-24,1
台北市,1991,8,男,15-24,1
台北市,1991,8,男,25-34,1
新北市,1991,8,男,15-24,1
新北市,1991,8,男,65以上,1
台北市,1991,9,男,15-24,1
台北市,1991,9,男,25-34,2
新北市,1991,9,女,25-34,1
新北市,1991,9,男,15-24,2
新北市,1991,9,男,25-34,1
新北市,1991,9,男,35-49,1
台中市,1991,10,男,15-24,1
台中市,1991,10,男,25-34,1
台北市,1991,10,男,25-34,3
台南市,1991,10,男,15-24,1
花蓮縣,1991,10,男,15-24,1
南投縣,1991,10,男,50-64,1
桃園市,1991,10,男,15-24,1
桃園市,1991,10,男,35-49,1
高雄市,1991,10,男,25-34,1
新北市,1991,10,男,15-24,1
新北市,1991,10,男,50-64,1
新竹縣,1991,10,男,25-34,1
台北市,1991,11,男,15-24,1
台北市,1991,11,男,25-34,2
台北市,1991,11,男,35-49,1
桃園市,1991,11,男,35-49,1
高雄市,1991,11,男,25-34,1
新北市,1991,11,男,15-24,1
台北市,1991,12,男,15-24,3
台北市,1991,12,男,25-34,2
台北市,1991,12,男,50-64,1
新北市,1991,12,男,15-24,1
新北市,1991,12,男,25-34,3
新北市,1991,12,男,50-64,1
彰化縣,1991,12,男,50-64,1
台中市,1992,1,男,25-34,2
台北市,1992,1,女,25-34,1
台北市,1992,1,男,25-34,2
桃園市,1992,1,男,25-34,1
高雄市,1992,1,男,35-49,1
新北市,1992,1,男,25-34,1
台中市,1992,2,男,15-24,1
台北市,1992,2,女,35-49,1
台北市,1992,2,男,15-24,1
台北市,1992,2,男,25-34,2
台北市,1992,2,男,35-49,1
台北市,1992,2,男,50-64,1
宜蘭縣,1992,2,男,25-34,1
高雄市,1992,2,男,15-24,1
高雄市,1992,2,男,25-34,1
新北市,1992,2,男,15-24,1
新北市,1992,2,男,50-64,1
台中市,1992,3,男,25-34,1
台中市,1992,3,男,35-49,1
台北市,1992,3,女,35-49,1
台北市,1992,3,男,25-34,1
台北市,1992,3,男,35-49,1
台北市,1992,3,男,50-64,1
新北市,1992,3,男,15-24,2
新北市,1992,3,男,25-34,1
新竹市,1992,3,男,35-49,1
台北市,1992,4,男,25-34,1
桃園市,1992,4,男,15-24,1
新北市,1992,4,男,25-34,3
新北市,1992,4,男,35-49,1
台中市,1992,5,男,35-49,1
台北市,1992,5,女,35-49,1
台北市,1992,5,男,15-24,1
台北市,1992,5,男,25-34,1
屏東縣,1992,5,男,25-34,1
新北市,1992,5,男,25-34,3
新北市,1992,5,男,50-64,1
台北市,1992,6,男,15-24,1
台北市,1992,6,男,25-34,1
台北市,1992,6,男,50-64,1
台北市,1992,6,男,65以上,1
桃園市,1992,6,男,15-24,1
高雄市,1992,6,男,35-49,1
新北市,1992,6,男,15-24,1
新北市,1992,6,男,25-34,2
新北市,1992,6,男,35-49,2
台中市,1992,7,男,25-34,1
台北市,1992,7,男,15-24,1
台北市,1992,7,男,25-34,2
台南市,1992,7,男,25-34,1
苗栗縣,1992,7,男,35-49,1
桃園市,1992,7,男,25-34,1
高雄市,1992,7,男,25-34,1
高雄市,1992,7,男,35-49,1
新北市,1992,7,男,15-24,3
新北市,1992,7,男,25-34,2
彰化縣,1992,7,男,15-24,1
台北市,1992,8,女,25-34,1
台北市,1992,8,男,15-24,1
台南市,1992,8,女,15-24,1
苗栗縣,1992,8,男,25-34,1
桃園市,1992,8,男,15-24,2
桃園市,1992,8,男,25-34,1
高雄市,1992,8,男,15-24,1
高雄市,1992,8,男,25-34,1
新北市,1992,8,男,15-24,1
新北市,1992,8,男,35-49,1
彰化縣,1992,8,男,15-24,1
台北市,1992,9,男,15-24,1
台北市,1992,9,男,50-64,1
台南市,1992,9,男,25-34,1
南投縣,1992,9,男,25-34,1
屏東縣,1992,9,男,25-34,1
桃園市,1992,9,男,15-24,1
新北市,1992,9,男,25-34,1
新北市,1992,9,男,35-49,2
新北市,1992,9,男,50-64,1
新北市,1992,9,男,65以上,1
台中市,1992,10,男,15-24,2
台中市,1992,10,男,35-49,1
台北市,1992,10,男,50-64,1
屏東縣,1992,10,男,25-34,1
桃園市,1992,10,男,15-24,1
桃園市,1992,10,男,25-34,1
桃園市,1992,10,男,50-64,1
高雄市,1992,10,男,15-24,1
基隆市,1992,10,男,15-24,2
新北市,1992,10,男,15-24,1
彰化縣,1992,10,男,50-64,1
台北市,1992,11,女,15-24,1
台北市,1992,11,男,15-24,1
台北市,1992,11,男,50-64,1
台北市,1992,11,男,65以上,1
雲林縣,1992,11,男,35-49,1
新北市,1992,11,男,15-24,2
新北市,1992,11,男,25-34,1
新北市,1992,11,男,35-49,1
彰化縣,1992,11,女,50-64,1
台中市,1992,12,男,25-34,1
台北市,1992,12,男,25-34,1
台南市,1992,12,男,25-34,1
屏東縣,1992,12,男,25-34,1
新北市,1992,12,女,25-34,1
新北市,1992,12,男,50-64,1
台北市,1993,1,男,25-34,3
台南市,1993,1,男,15-24,1
新北市,1993,1,男,25-34,4
新北市,1993,1,男,35-49,2
新北市,1993,1,男,50-64,1
苗栗縣,1993,2,女,25-34,1
高雄市,1993,2,女,15-24,1
新北市,1993,2,女,15-24,1
新北市,1993,2,男,25-34,1
新竹市,1993,2,男,35-49,1
台北市,1993,3,男,35-49,1
台北市,1993,3,男,50-64,1
苗栗縣,1993,3,男,25-34,1
新北市,1993,3,男,35-49,1
台中市,1993,4,男,25-34,1
屏東縣,1993,4,男,25-34,1
高雄市,1993,4,男,15-24,1
高雄市,1993,4,男,35-49,1
新北市,1993,4,男,15-24,1
新北市,1993,4,男,25-34,1
新北市,1993,4,男,50-64,1
台北市,1993,5,女,25-34,1
台北市,1993,5,男,25-34,1
台北市,1993,5,男,35-49,2
台南市,1993,5,男,25-34,1
南投縣,1993,5,男,25-34,1
屏東縣,1993,5,男,25-34,1
苗栗縣,1993,5,男,15-24,1
高雄市,1993,5,男,35-49,1
新竹市,1993,5,男,35-49,1
澎湖縣,1993,5,男,35-49,1
台南市,1993,6,男,15-24,1
花蓮縣,1993,6,男,50-64,1
南投縣,1993,6,男,25-34,1
高雄市,1993,6,男,15-24,1
新北市,1993,6,男,25-34,2
嘉義市,1993,6,男,25-34,1
澎湖縣,1993,6,女,25-34,1
台北市,1993,7,男,15-24,3
台北市,1993,7,男,35-49,3
台北市,1993,7,男,50-64,1
宜蘭縣,1993,7,男,25-34,1
花蓮縣,1993,7,女,50-64,1
屏東縣,1993,7,男,25-34,1
高雄市,1993,7,男,15-24,1
新北市,1993,7,女,50-64,1
新北市,1993,7,男,15-24,1
新北市,1993,7,男,25-34,1
新北市,1993,7,男,35-49,1
新北市,1993,7,男,50-64,1
彰化縣,1993,7,男,65以上,1
台中市,1993,8,男,15-24,1
台中市,1993,8,男,35-49,1
台北市,1993,8,女,15-24,1
台北市,1993,8,男,15-24,2
台北市,1993,8,男,25-34,6
台北市,1993,8,男,35-49,3
台北市,1993,8,男,65以上,1
台南市,1993,8,男,50-64,1
屏東縣,1993,8,男,50-64,1
桃園市,1993,8,男,25-34,1
桃園市,1993,8,男,50-64,1
高雄市,1993,8,男,35-49,1
新北市,1993,8,男,25-34,3
台北市,1993,9,男,25-34,1
台北市,1993,9,男,50-64,1
桃園市,1993,9,男,15-24,1
桃園市,1993,9,男,25-34,2
基隆市,1993,9,男,25-34,2
新竹市,1993,9,男,25-34,1
台中市,1993,10,男,25-34,2
台北市,1993,10,女,15-24,1
台北市,1993,10,男,25-34,1
台北市,1993,10,男,35-49,1
台南市,1993,10,男,50-64,1
宜蘭縣,1993,10,男,25-34,1
花蓮縣,1993,10,男,25-34,1
南投縣,1993,10,男,25-34,1
桃園市,1993,10,男,15-24,1
桃園市,1993,10,男,25-34,1
高雄市,1993,10,男,25-34,1
台北市,1993,11,男,15-24,1
台北市,1993,11,男,50-64,1
台南市,1993,11,男,15-24,1
屏東縣,1993,11,男,35-49,1
桃園市,1993,11,女,25-34,1
新北市,1993,11,男,15-24,1
新北市,1993,11,男,25-34,1
新北市,1993,11,男,35-49,1
新北市,1993,11,男,65以上,1
台中市,1993,12,男,15-24,1
台中市,1993,12,男,25-34,2
台北市,1993,12,男,15-24,3
台北市,1993,12,男,25-34,1
台東縣,1993,12,女,15-24,1
台南市,1993,12,男,25-34,1
桃園市,1993,12,男,35-49,1
高雄市,1993,12,男,15-24,1
高雄市,1993,12,男,25-34,1
高雄市,1993,12,男,35-49,1
新北市,1993,12,女,25-34,1
新北市,1993,12,男,25-34,1
新北市,1993,12,男,35-49,1
嘉義縣,1993,12,男,35-49,1
台中市,1994,1,男,25-34,1
台北市,1994,1,男,15-24,1
台北市,1994,1,男,35-49,1
台南市,1994,1,男,35-49,2
宜蘭縣,1994,1,男,65以上,1
桃園市,1994,1,女,25-34,1
基隆市,1994,1,男,25-34,1
新北市,1994,1,男,15-24,1
新北市,1994,1,男,25-34,2
新北市,1994,1,男,35-49,1
新北市,1994,1,男,65以上,2
嘉義縣,1994,1,男,未滿15,1
台北市,1994,2,男,25-34,2
台北市,1994,2,男,35-49,1
南投縣,1994,2,男,25-34,1
屏東縣,1994,2,男,25-34,1
屏東縣,1994,2,男,35-49,1
高雄市,1994,2,男,25-34,1
雲林縣,1994,2,男,35-49,1
新北市,1994,2,女,65以上,1
新北市,1994,2,男,15-24,1
新北市,1994,2,男,25-34,2
新北市,1994,2,男,50-64,1
台中市,1994,3,女,25-34,1
台中市,1994,3,男,15-24,1
屏東縣,1994,3,男,15-24,1
苗栗縣,1994,3,男,25-34,1
桃園市,1994,3,男,25-34,1
桃園市,1994,3,男,35-49,1
新北市,1994,3,女,25-34,1
新北市,1994,3,男,15-24,3
新北市,1994,3,男,25-34,2
新北市,1994,3,男,35-49,1
新竹市,1994,3,男,25-34,1
彰化縣,1994,3,男,35-49,1
台中市,1994,4,男,25-34,1
台北市,1994,4,男,25-34,1
台北市,1994,4,男,35-49,1
屏東縣,1994,4,女,35-49,1
桃園市,1994,4,男,15-24,1
高雄市,1994,4,女,50-64,1
高雄市,1994,4,男,50-64,1
基隆市,1994,4,男,25-34,1
新北市,1994,4,男,25-34,2
新北市,1994,4,男,35-49,2
澎湖縣,1994,4,男,未滿15,1
台北市,1994,5,男,15-24,1
台北市,1994,5,男,25-34,1
台南市,1994,5,男,25-34,1
台南市,1994,5,男,35-49,1
基隆市,1994,5,男,25-34,1
雲林縣,1994,5,男,15-24,1
新北市,1994,5,男,35-49,2
台中市,1994,6,男,15-24,1
台中市,1994,6,男,25-34,1
台北市,1994,6,男,15-24,2
台北市,1994,6,男,25-34,2
台北市,1994,6,男,35-49,2
台北市,1994,6,男,50-64,1
花蓮縣,1994,6,男,25-34,1
屏東縣,1994,6,男,25-34,1
苗栗縣,1994,6,男,25-34,1
桃園市,1994,6,男,15-24,1
桃園市,1994,6,男,65以上,1
雲林縣,1994,6,女,25-34,1
新北市,1994,6,女,15-24,1
新北市,1994,6,女,25-34,1
新北市,1994,6,男,15-24,2
新北市,1994,6,男,25-34,1
新北市,1994,6,男,35-49,3
台北市,1994,7,男,25-34,2
桃園市,1994,7,男,15-24,1
高雄市,1994,7,男,50-64,1
新北市,1994,7,男,25-34,1
台南市,1994,8,男,35-49,1
台南市,1994,8,男,65以上,1
屏東縣,1994,8,男,25-34,1
基隆市,1994,8,男,35-49,1
台中市,1994,9,女,50-64,1
台中市,1994,9,男,15-24,2
台北市,1994,9,男,15-24,1
台北市,1994,9,男,25-34,1
台北市,1994,9,男,35-49,1
台北市,1994,9,男,50-64,1
台南市,1994,9,男,25-34,1
宜蘭縣,1994,9,女,25-34,1
宜蘭縣,1994,9,男,25-34,1
屏東縣,1994,9,男,25-34,1
桃園市,1994,9,男,15-24,1
新北市,1994,9,女,15-24,1
新北市,1994,9,男,25-34,1
台中市,1994,10,男,50-64,1
台北市,1994,10,女,25-34,1
台北市,1994,10,男,25-34,1
台北市,1994,10,男,35-49,2
台北市,1994,10,男,50-64,1
台北市,1994,10,男,65以上,1
台南市,1994,10,男,50-64,1
花蓮縣,1994,10,男,15-24,1
桃園市,1994,10,男,15-24,1
高雄市,1994,10,男,25-34,1
新北市,1994,10,男,15-24,2
嘉義縣,1994,10,男,25-34,1
台中市,1994,11,男,25-34,1
台中市,1994,11,男,35-49,1
台中市,1994,11,男,50-64,1
台北市,1994,11,男,25-34,1
台北市,1994,11,男,35-49,1
台北市,1994,11,男,50-64,1
台南市,1994,11,男,25-34,1
花蓮縣,1994,11,男,25-34,1
南投縣,1994,11,女,15-24,1
高雄市,1994,11,男,35-49,1
新北市,1994,11,女,15-24,1
新北市,1994,11,女,35-49,1
新北市,1994,11,男,15-24,1
新北市,1994,11,男,25-34,3
新北市,1994,11,男,35-49,2
彰化縣,1994,11,男,35-49,1
台中市,1994,12,男,35-49,2
台北市,1994,12,男,25-34,4
台北市,1994,12,男,35-49,1
台北市,1994,12,男,50-64,1
苗栗縣,1994,12,男,35-49,1
高雄市,1994,12,女,15-24,1
高雄市,1994,12,男,15-24,1
基隆市,1994,12,男,25-34,1
基隆市,1994,12,男,35-49,1
新北市,1994,12,男,15-24,1
新北市,1994,12,男,25-34,1
新北市,1994,12,男,35-49,1
新竹市,1994,12,男,25-34,1
台中市,1995,1,女,35-49,1
台中市,1995,1,男,35-49,1
台北市,1995,1,男,15-24,2
台北市,1995,1,男,35-49,1
台北市,1995,1,男,50-64,1
台北市,1995,1,男,65以上,1
台南市,1995,1,男,25-34,2
台南市,1995,1,男,35-49,1
台南市,1995,1,男,65以上,1
苗栗縣,1995,1,男,25-34,1
高雄市,1995,1,男,25-34,2
新北市,1995,1,女,15-24,1
新北市,1995,1,男,25-34,1
新北市,1995,1,男,35-49,3
彰化縣,1995,1,男,25-34,1
台中市,1995,2,女,25-34,1
台中市,1995,2,男,25-34,1
台中市,1995,2,男,35-49,1
台北市,1995,2,男,25-34,1
台北市,1995,2,男,35-49,2
宜蘭縣,1995,2,男,65以上,1
桃園市,1995,2,男,35-49,1
基隆市,1995,2,男,15-24,1
基隆市,1995,2,男,25-34,1
新北市,1995,2,男,25-34,2
彰化縣,1995,2,男,25-34,1
台中市,1995,3,女,35-49,1
台北市,1995,3,男,15-24,1
台北市,1995,3,男,25-34,3
台北市,1995,3,男,35-49,1
台北市,1995,3,男,50-64,1
台南市,1995,3,男,25-34,1
宜蘭縣,1995,3,男,50-64,1
高雄市,1995,3,男,35-49,1
高雄市,1995,3,男,50-64,1
新北市,1995,3,女,35-49,1
新北市,1995,3,男,25-34,4
新北市,1995,3,男,35-49,4
新竹縣,1995,3,男,35-49,1
台中市,1995,4,男,35-49,1
台北市,1995,4,男,25-34,1
台北市,1995,4,男,35-49,2
高雄市,1995,4,男,35-49,1
新北市,1995,4,男,50-64,2
台中市,1995,5,男,15-24,1
台中市,1995,5,男,25-34,1
台北市,1995,5,女,35-49,1
台北市,1995,5,男,25-34,3
台北市,1995,5,男,65以上,1
台南市,1995,5,男,25-34,1
花蓮縣,1995,5,男,25-34,1
桃園市,1995,5,男,25-34,1
高雄市,1995,5,男,25-34,1
高雄市,1995,5,男,35-49,1
基隆市,1995,5,男,35-49,1
新北市,1995,5,男,25-34,1
新北市,1995,5,男,50-64,1
彰化縣,1995,5,男,15-24,1
彰化縣,1995,5,男,25-34,1
台北市,1995,6,男,25-34,2
台北市,1995,6,男,35-49,3
台北市,1995,6,男,50-64,1
台南市,1995,6,女,25-34,1
台南市,1995,6,男,35-49,1
花蓮縣,1995,6,男,25-34,1
新北市,1995,6,女,15-24,1
新北市,1995,6,男,15-24,1
新北市,1995,6,男,25-34,5
新北市,1995,6,男,35-49,1
台北市,1995,7,男,25-34,1
台北市,1995,7,男,35-49,2
台北市,1995,7,男,50-64,1
台東縣,1995,7,男,25-34,1
台南市,1995,7,男,35-49,1
苗栗縣,1995,7,男,35-49,1
桃園市,1995,7,男,15-24,1
高雄市,1995,7,男,25-34,1
高雄市,1995,7,男,50-64,1
新北市,1995,7,男,15-24,1
新北市,1995,7,男,25-34,1
新北市,1995,7,男,35-49,2
新北市,1995,7,男,50-64,1
新竹市,1995,7,男,35-49,1
台中市,1995,8,男,15-24,1
台中市,1995,8,男,35-49,1
台中市,1995,8,男,50-64,1
台北市,1995,8,女,25-34,1
台北市,1995,8,男,15-24,1
台北市,1995,8,男,25-34,2
台北市,1995,8,男,35-49,2
台北市,1995,8,男,50-64,2
台南市,1995,8,男,35-49,1
高雄市,1995,8,男,15-24,1
高雄市,1995,8,男,25-34,1
新北市,1995,8,男,25-34,1
新北市,1995,8,男,35-49,1
新北市,1995,8,男,65以上,1
台中市,1995,9,女,25-34,1
台中市,1995,9,男,35-49,1
台北市,1995,9,女,50-64,1
台北市,1995,9,男,25-34,1
台北市,1995,9,男,35-49,1
台南市,1995,9,男,35-49,1
屏東縣,1995,9,男,25-34,1
桃園市,1995,9,男,15-24,1
桃園市,1995,9,男,25-34,2
高雄市,1995,9,男,25-34,1
新北市,1995,9,女,25-34,1
新北市,1995,9,男,15-24,1
新北市,1995,9,男,25-34,1
新北市,1995,9,男,35-49,2
嘉義縣,1995,9,男,15-24,1
嘉義縣,1995,9,男,35-49,1
台中市,1995,10,男,15-24,2
台中市,1995,10,男,25-34,2
台北市,1995,10,男,15-24,1
台北市,1995,10,男,25-34,2
台北市,1995,10,男,35-49,3
台北市,1995,10,男,50-64,1
台南市,1995,10,女,25-34,1
台南市,1995,10,男,25-34,2
苗栗縣,1995,10,男,50-64,1
桃園市,1995,10,男,35-49,1
高雄市,1995,10,女,50-64,1
高雄市,1995,10,男,15-24,2
高雄市,1995,10,男,35-49,2
基隆市,1995,10,女,50-64,1
基隆市,1995,10,男,65以上,1
雲林縣,1995,10,男,15-24,1
新北市,1995,10,男,15-24,1
新北市,1995,10,男,25-34,1
新北市,1995,10,男,35-49,1
新北市,1995,10,男,50-64,1
新北市,1995,10,男,65以上,1
新竹縣,1995,10,女,35-49,1
台中市,1995,11,女,25-34,1
台中市,1995,11,男,15-24,3
台中市,1995,11,男,25-34,2
台北市,1995,11,女,25-34,1
台北市,1995,11,男,15-24,1
台北市,1995,11,男,25-34,2
台北市,1995,11,男,35-49,1
台南市,1995,11,男,35-49,1
台南市,1995,11,男,50-64,1
桃園市,1995,11,男,15-24,2
桃園市,1995,11,男,25-34,2
桃園市,1995,11,男,50-64,1
高雄市,1995,11,男,25-34,1
新北市,1995,11,男,25-34,2
新北市,1995,11,男,35-49,1
新竹市,1995,11,男,35-49,1
新竹市,1995,11,男,50-64,1
新竹縣,1995,11,男,25-34,1
新竹縣,1995,11,男,35-49,1
台中市,1995,12,男,25-34,1
台中市,1995,12,男,35-49,2
其他,1995,12,男,15-24,1
花蓮縣,1995,12,男,15-24,1
屏東縣,1995,12,男,15-24,1
桃園市,1995,12,男,15-24,1
桃園市,1995,12,男,25-34,1
桃園市,1995,12,男,35-49,1
高雄市,1995,12,男,25-34,2
雲林縣,1995,12,男,35-49,1
新北市,1995,12,男,25-34,5
新北市,1995,12,男,35-49,1
新北市,1995,12,男,50-64,1
台中市,1996,1,女,25-34,1
台中市,1996,1,男,15-24,1
台中市,1996,1,男,25-34,1
台南市,1996,1,女,15-24,1
台南市,1996,1,男,65以上,1
花蓮縣,1996,1,男,25-34,1
南投縣,1996,1,男,15-24,1
苗栗縣,1996,1,男,35-49,1
桃園市,1996,1,男,15-24,1
高雄市,1996,1,男,25-34,2
高雄市,1996,1,男,65以上,1
新北市,1996,1,男,25-34,1
新北市,1996,1,男,35-49,2
新竹市,1996,1,男,25-34,1
嘉義縣,1996,1,男,35-49,1
台中市,1996,2,男,65以上,1
台北市,1996,2,女,35-49,1
台北市,1996,2,男,25-34,1
台北市,1996,2,男,50-64,2
台北市,1996,2,男,65以上,1
台南市,1996,2,男,50-64,1
苗栗縣,1996,2,女,25-34,1
高雄市,1996,2,男,15-24,1
高雄市,1996,2,男,35-49,1
新北市,1996,2,男,15-24,1
新北市,1996,2,男,35-49,3
新竹縣,1996,2,女,25-34,1
台中市,1996,3,男,35-49,1
台北市,1996,3,女,25-34,1
台北市,1996,3,男,25-34,2
台北市,1996,3,男,35-49,1
台北市,1996,3,男,65以上,1
台南市,1996,3,男,25-34,1
南投縣,1996,3,男,50-64,1
屏東縣,1996,3,男,35-49,1
桃園市,1996,3,女,15-24,1
高雄市,1996,3,女,25-34,1
高雄市,1996,3,男,15-24,1
高雄市,1996,3,男,35-49,1
基隆市,1996,3,男,25-34,1
新北市,1996,3,女,35-49,1
新北市,1996,3,男,15-24,3
新北市,1996,3,男,25-34,2
新北市,1996,3,男,35-49,1
新北市,1996,3,男,65以上,1
新竹縣,1996,3,男,25-34,1
嘉義市,1996,3,男,50-64,1
嘉義縣,1996,3,女,25-34,1
台中市,1996,4,男,15-24,1
台中市,1996,4,男,35-49,1
台北市,1996,4,男,25-34,6
台北市,1996,4,男,35-49,1
屏東縣,1996,4,男,25-34,1
桃園市,1996,4,男,25-34,1
高雄市,1996,4,男,15-24,1
高雄市,1996,4,男,35-49,1
新北市,1996,4,男,15-24,1
新北市,1996,4,男,35-49,2
新北市,1996,4,男,50-64,1
新北市,1996,4,男,65以上,1
台中市,1996,5,男,25-34,1
台北市,1996,5,男,25-34,4
台北市,1996,5,男,35-49,2
宜蘭縣,1996,5,男,15-24,1
屏東縣,1996,5,男,25-34,1
屏東縣,1996,5,男,35-49,2
桃園市,1996,5,男,25-34,1
高雄市,1996,5,男,25-34,1
雲林縣,1996,5,男,25-34,1
新北市,1996,5,男,25-34,2
新竹市,1996,5,男,25-34,2
台中市,1996,6,男,25-34,1
台中市,1996,6,男,65以上,1
台北市,1996,6,男,15-24,1
台北市,1996,6,男,25-34,3
台北市,1996,6,男,35-49,4
台南市,1996,6,男,35-49,1
高雄市,1996,6,男,35-49,1
新北市,1996,6,男,25-34,4
新北市,1996,6,男,35-49,3
台中市,1996,7,女,50-64,1
台北市,1996,7,男,15-24,1
台北市,1996,7,男,25-34,3
台南市,1996,7,男,35-49,1
其他,1996,7,男,50-64,1
花蓮縣,1996,7,男,25-34,1
南投縣,1996,7,男,25-34,1
桃園市,1996,7,男,25-34,1
桃園市,1996,7,男,35-49,1
高雄市,1996,7,男,25-34,1
雲林縣,1996,7,女,50-64,1
雲林縣,1996,7,男,50-64,1
新北市,1996,7,男,25-34,1
新北市,1996,7,男,50-64,1
彰化縣,1996,7,男,15-24,1
彰化縣,1996,7,男,25-34,1
彰化縣,1996,7,男,35-49,1
台中市,1996,8,男,25-34,2
台北市,1996,8,男,15-24,2
